"source","date.start","date.end","gear","stratum","mesh","length","trip.start","trip.end","soak.min","chinook","chum","sockeye"
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"12:00","15:00",120,10,15,1
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"14:30","14:45",10,10,26,0
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"13:00","13:15",10,1,16,0
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"13:00","15:00",90,3,9,2
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"13:30","13:45",30,2,1,1
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"12:00",NA,300,17,32,4
"FC","6/21/2016","6/21/2016","Drift","C",5.75,150,"15:30","17:30",120,5,3,3
"FC","6/21/2016","6/21/2016","Drift","B",5.5,150,"15:30","19:00",165,5,12,3
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"12:00","15:30",135,6,9,2
"FC","6/21/2016","6/21/2016","Drift","B",6,150,"13:15","14:30",70,15,5,10
"FC","6/21/2016","6/21/2016","Drift","B",5.75,150,"12:30","15:00",100,12,1,5
"FC","6/21/2016","6/21/2016","Drift","C",5.875,150,"12:15","15:30",100,9,44,0
"FC","6/21/2016","6/21/2016","Drift","C",5.5,150,"14:00","17:00",150,11,20,5
"FC","6/21/2016","6/21/2016","Set","C",6,150,"13:30","17:30",240,7,0,1
"FC","6/21/2016","6/21/2016","Set","C",4.5,40,"13:30","17:30",240,0,0,0
"FC","6/21/2016","6/21/2016","Drift","C",5.5,150,"14:30","17:30",135,10,15,12
"FC","6/21/2016","6/21/2016","Drift","B",5.5,150,"13:30","19:00",260,20,16,5
"FC","6/21/2016","6/21/2016","Drift","C",6,150,"13:00","13:10",10,1,16,0
"FC","6/21/2016","6/21/2016","Drift","C",5.75,150,"13:40","18:12",280,5,17,2
"FC","6/21/2016","6/21/2016","Drift","B",5,75,NA,NA,180,15,15,15
"FC","6/21/2016","6/23/2016","Set","C",6,150,"13:30","13:30",2880,5,6,5
"FC","6/21/2016","6/21/2016","Drift","B",6,150,"13:00","20:00",260,17,3,30
"FC","6/21/2016","6/22/2016","Set","C",4,100,"15:00","08:00",1020,20,45,20
