"source","date.start","date.end","gear","stratum","mesh","length","trip.start","trip.end","soak.min","chinook","chum","sockeye"
"BBH","6/24/2016","6/24/2016","Drift","B",5.5,150,"08:30","10:00",90,4,6,5
"BBH","6/24/2016","6/24/2016","Drift","C",6,150,"09:30","11:00",100,7,1,8
"BBH","6/24/2016","6/24/2016","Drift","B",6,150,"08:00","11:00",120,3,0,0
"BBH","6/24/2016","6/24/2016","Drift","B",6,150,"09:00","10:30",50,11,20,5
"BBH","6/24/2016","6/24/2016","Drift","C",6,150,"10:30","11:30",20,1,4,0
"BBH","6/24/2016","6/24/2016","Drift","C",6,150,"09:30","11:15",75,5,3,10
"BBH","6/24/2016","6/24/2016","Drift","C",5.375,150,"10:30","11:40",30,3,3,3
"BBH","6/24/2016","6/24/2016","Drift","C",6,150,"10:45","11:59",70,2,10,0
"BBH","6/24/2016","6/24/2016","Drift","C",6,150,"05:00","07:30",60,10,0,10
"BBH","6/24/2016","6/24/2016","Drift","C",5.5,150,"05:15","06:30",60,2,0,2
"BBH","6/24/2016","6/24/2016","Drift","C",5.5,150,"07:00","10:45",210,3,12,4
