source,date.start,date.end,gear,stratum,mesh,length,soak.min,chinook,chum,sockeye
LE,6/29/2016,6/29/2016,Drift,C,5.5,150,35,3,0,20
LE,6/29/2016,6/29/2016,Drift,C,6,150,75,1,6,9
LE,6/29/2016,6/29/2016,Drift,C,5,150,50,0,1,4
LE,6/29/2016,6/29/2016,Drift,C,5.875,150,120,15,8,12
LE,6/29/2016,6/29/2016,Drift,C,5.25,210,120,1,2,8
LE,6/29/2016,6/29/2016,Drift,C,6,180,105,0,13,2
LE,6/29/2016,6/29/2016,Drift,C,5.5,150,150,5,11,25
LE,6/29/2016,6/29/2016,Drift,C,5.5,50,55,1,0,0
LE,6/29/2016,6/29/2016,Drift,C,6,150,45,2,0,7
LE,6/29/2016,6/29/2016,Drift,C,5.25,150,300,5,23,31
LE,6/29/2016,6/29/2016,Drift,C,5.875,150,135,4,0,1
LE,6/29/2016,6/29/2016,Drift,C,5.875,150,20,2,6,5
LE,6/29/2016,6/29/2016,Drift,C,6,150,30,0,2,0
LE,6/29/2016,6/29/2016,Drift,C,6,210,340,10,3,4
LE,6/29/2016,6/29/2016,Drift,C,6,150,190,5,9,4
