source,date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye
BBH,6/30/2016,6/30/2016,Drift,C,6,150,13:00,14:30,60,2,2,10
BBH,6/30/2016,6/30/2016,Drift,C,5.75,150,14:00,15:00,60,3,2,25
BBH,6/30/2016,6/30/2016,Drift,C,6,80,10:30,15:30,300,0,1,12
BBH,6/30/2016,6/30/2016,Drift,C,6,150,15:00,16:30,90,0,2,8
BBH,6/30/2016,6/30/2016,Drift,C,6,55,14:30,15:00,30,2,2,12
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,14:00,14:30,20,0,0,9
BBH,6/30/2016,6/30/2016,Set,C,4,60,NA,NA,1440,1,0,21
BBH,6/30/2016,6/30/2016,Drift,C,6,150,18:00,19:00,45,0,0,19
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,18:30,20:00,60,0,0,1
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,14:00,16:30,80,2,0,7
BBH,6/30/2016,6/30/2016,Drift,C,6,150,10:30,13:00,100,5,6,25
BBH,6/30/2016,6/30/2016,Drift,C,6,150,17:00,19:00,50,0,4,2
BBH,6/30/2016,6/30/2016,Drift,C,6,150,18:45,19:15,30,1,3,16
BBH,6/30/2016,6/30/2016,Drift,C,6,150,17:00,19:52,90,1,4,13
BBH,6/30/2016,6/30/2016,Drift,C,5.5,25,11:30,13:00,90,3,2,4
BBH,6/30/2016,6/30/2016,Drift,C,5.75,150,16:00,19:50,120,0,1,6
BBH,6/30/2016,6/30/2016,Drift,C,4,150,18:00,19:30,120,0,0,4
BBH,6/30/2016,6/30/2016,Drift,C,6,150,16:00,19:00,60,0,0,12
BBH,6/30/2016,6/30/2016,Drift,C,5.75,150,21:00,21:30,30,2,2,4
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,19:00,21:00,60,2,1,10
BBH,6/30/2016,6/30/2016,Drift,C,6,40,18:00,21:30,50,3,9,2
BBH,6/30/2016,6/30/2016,Drift,C,6,150,16:00,20:30,120,7,20,18
BBH,6/30/2016,6/30/2016,Drift,B,5.75,80,18:30,22:15,225,0,1,16
BBH,6/30/2016,6/30/2016,Drift,C,6,150,18:00,23:00,200,2,5,14
BBH,6/30/2016,6/30/2016,Drift,B,5.5,150,19:00,21:15,20,1,14,1
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,20:45,21:50,60,0,8,2
BBH,6/30/2016,6/30/2016,Drift,C,6,150,11:30,15:00,30,1,3,6
BBH,6/30/2016,6/30/2016,Drift,B,4.5,40,13:30,14:00,35,0,0,10
BBH,6/30/2016,6/30/2016,Drift,C,6,150,13:00,15:00,30,1,5,6
BBH,6/30/2016,6/30/2016,Drift,C,6,150,19:00,20:00,30,6,10,15
BBH,6/30/2016,6/30/2016,Drift,C,6,150,21:30,22:00,30,1,0,11
BBH,6/30/2016,6/30/2016,Drift,C,5.5,150,13:00,14:15,40,1,0,12
BBH,6/30/2016,6/30/2016,Drift,C,5.5,75,14:00,15:30,90,0,15,30
BBH,6/30/2016,6/30/2016,Drift,C,6,150,11:30,13:30,120,2,0,5
