date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/24/2017,6/24/2017,Drift,C,5.75,150,12:15,14:45,75,3,15,2,0,0
6/24/2017,6/24/2017,Drift,C,4,60,12:00,15:02,90,6,40,7,0,0
6/24/2017,6/24/2017,Drift,C,5.5,150,12:00,15:30,75,10,14,44,0,0
6/24/2017,6/24/2017,Drift,C,6,150,11:30,14:00,120,8,20,13,1,0
6/24/2017,6/24/2017,Drift,C,5.5,150,12:00,17:30,150,17,60,17,0,0
6/24/2017,6/24/2017,Drift,C,6,150,12:30,15:45,150,5,30,5,0,0
6/24/2017,6/24/2017,Drift,C,6,150,13:30,19:00,60,1,50,2,2,0
6/24/2017,6/24/2017,Drift,B,6,150,14:00,19:10,60,2,1,3,1,0
6/24/2017,6/24/2017,Drift,C,5.5,150,14:00,18:45,180,1,11,0,0,0
6/24/2017,6/24/2017,Drift,C,5.5,150,17:00,19:30,90,5,15,26,0,0
6/24/2017,6/24/2017,Drift,C,6,150,16:00,19:37,120,11,25,15,0,0
6/24/2017,6/24/2017,Drift,C,6,150,18:00,19:50,10,1,10,1,0,0
6/24/2017,6/24/2017,Drift,B,6,150,15:00,20:30,135,3,2,0,0,0
6/24/2017,6/24/2017,Drift,C,6,120,11:30,20:40,30,0,30,2,0,0
6/24/2017,6/24/2017,Drift,C,6,150,13:00,16:00,20,3,17,2,0,0
6/24/2017,6/24/2017,Drift,C,5.5,150,14:00,17:00,120,2,38,5,0,1
6/24/2017,6/24/2017,Drift,C,5.5,150,13:30,17:05,120,5,35,3,0,0
6/24/2017,6/24/2017,Drift,C,6,150,11:30,17:07,105,6,67,5,0,0
6/24/2017,6/24/2017,Drift,C,6,150,12:00,17:15,300,18,30,5,0,0
6/24/2017,6/24/2017,Drift,C,6,150,12:00,17:35,240,10,30,0,1,0
6/24/2017,6/24/2017,Drift,C,6,150,11:15,17:44,200,6,71,12,0,2
6/24/2017,6/24/2017,Drift,C,6,150,13:00,17:55,200,4,30,7,2,0
6/24/2017,6/24/2017,Drift,A,5.88,150,12:00,18:00,30,3,8,17,0,0
6/24/2017,6/24/2017,Drift,C,5.75,150,15:00,18:15,45,5,20,20,1,0
6/24/2017,6/24/2017,Drift,C,6,150,14:30,18:44,230,6,10,10,0,7
6/24/2017,6/24/2017,Drift,C,5.38,150,14:30,19:01,100,2,1,7,0,0
6/24/2017,6/24/2017,Drift,A,5.5,150,10:30,17:02,40,8,50,10,0,0
6/24/2017,6/24/2017,Drift,C,6,150,17:30,19:07,30,2,5,0,0,0
6/24/2017,6/24/2017,Drift,C,5.5,150,15:15,19:50,60,3,6,6,1,0
6/24/2017,6/24/2017,Drift,C,6,150,12:00,17:10,270,12,38,4,0,0
6/24/2017,6/24/2017,Drift,C,6,150,12:00,17:50,240,4,44,2,1,0
6/24/2017,6/24/2017,Drift,C,7.5,120,17:00,18:45,20,5,14,3,0,0
6/24/2017,6/24/2017,Drift,A,6,150,12:30,18:50,240,14,30,3,1,0
6/24/2017,6/24/2017,Drift,B,6,150,13:15,14:00,30,0,2,2,0,0
6/24/2017,6/24/2017,Drift,C,6,150,11:50,14:00,45,1,24,1,0,0
