date.start,date.end,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
7/1/2017,7/1/2017,B,0.333333,drift,150,0,15,0,0,0
7/1/2017,7/1/2017,B,0.3333333,drift,50,0,5,0,0,0
7/1/2017,7/1/2017,B,0.6666666,drift,150,0,30,0,0,0
7/1/2017,7/1/2017,B,0.75,drift,180,1,4,0,0,0
7/1/2017,7/1/2017,B,0.3333333,drift,150,0,12,0,0,0
7/1/2017,7/1/2017,B,1,drift,150,2,40,0,0,0
7/1/2017,7/1/2017,B,1,drift,150,2,56,2,0,0
7/1/2017,7/1/2017,B,0.3333333,drift,300,1,111,0,0,0
7/1/2017,7/1/2017,D1,0.333333,drift,150,0,25,6,0,0
7/1/2017,7/1/2017,C,1,set,60,1,6,1,0,0
7/1/2017,7/1/2017,C,120,set,120,50,0,8,0,0
