date.end,date.start,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
7/3/2017,7/3/2017,D1,12:00,13:30,1:00,150,Driftnet,6,5,85,6,0,3,4,4,4,Village,Akiak
7/3/2017,7/3/2017,D1,13:00,15:30,1:30,150,Driftnet,5.75,7,40,20,0,2,2,5,2,Village,Akiak
7/3/2017,7/3/2017,D1,13:00,17:00,3:00,150,Driftnet,5.38,1,25,15,0,0,1,1,1,Village,Akiak
7/3/2017,7/3/2017,D1,14:30,15:30,0:45,150,Driftnet,5.5,2,11,72,0,0,1,3,3,Village,Akiak
7/3/2017,7/3/2017,C,16:00,17:00,0:45,150,Driftnet,6,1,12,10,0,0,4,3,3,Village,Akiak
7/3/2017,7/3/2017,C,13:00,14:00,0:30,150,Driftnet,6,8,4,0,0,0,4,4,3,Village,Akiak
7/3/2017,7/3/2017,C,12:00,14:00,1:00,150,Driftnet,6,17,7,4,0,0,4,5,3,Village,Akiak
7/3/2017,7/3/2017,B,12:15,14:30,1:50,80,Driftnet,5.5,4,37,21,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,14:00,17:00,2:15,150,Driftnet,6,0,36,7,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:45,16:15,2:20,150,Driftnet,6,5,21,7,0,0,3,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,16:30,18:30,1:50,150,Driftnet,6,4,20,15,1,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,16:00,17:30,0:50,150,Driftnet,5.5,0,21,6,0,0,2,4,2,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:30,16:45,2:40,150,Driftnet,6,2,20,4,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:45,14:15,0:20,150,Driftnet,5.5,0,38,10,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:00,14:45,0:50,150,Driftnet,5.5,3,23,5,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,12:30,13:15,0:20,150,Driftnet,5.88,0,31,7,0,0,2,4,2,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,12:00,13:00,0:35,150,Driftnet,6,5,50,15,2,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,12:00,16:30,3:10,150,Driftnet,5.88,4,80,6,0,0,2,3,2,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,12:00,12:30,0:15,80,Driftnet,6,0,5,0,0,0,1,2,1,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,15:30,17:00,1:15,150,Driftnet,5.88,0,76,12,0,0,1,3,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:15,16:30,2:30,150,Driftnet,6,7,43,6,0,0,1,3,2,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,16:00,16:45,0:30,150,Driftnet,6,4,16,15,0,0,2,5,2,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,12:00,14:45,2:30,150,Driftnet,5.88,6,50,6,0,0,2,5,5,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:30,15:30,1:45,150,Driftnet,6,1,6,13,0,0,2,3,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,13:30,14:15,0:30,150,Driftnet,6,3,30,7,0,0,2,4,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,14:00,15:30,1:15,150,Driftnet,6,1,14,5,0,0,2,3,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,14:00,17:15,3:00,125,Driftnet,5.5,0,56,15,0,0,2,3,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,15:30,17:00,1:15,150,Driftnet,6,0,37,6,0,0,5,5,5,Fish Camp,Napaskiak
7/3/2017,7/3/2017,B,17:30,18:30,0:45,140,Driftnet,6,2,34,3,0,0,2,3,3,Fish Camp,Napaskiak
7/3/2017,7/3/2017,C,17:30,18:30,1:00,150,Driftnet,6,5,8,7,0,0,4,5,4,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,12:00,18:00,5:30,30,Setnet,5.5,1,13,10,0,0,2,1,1,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,15:30,17:00,1:30,150,Driftnet,6,0,21,20,0,0,1,3,3,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,13:00,15:30,2:00,80,Driftnet,5.88,0,11,26,0,0,1,1,1,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,15:00,17:00,2:00,150,Driftnet,5.88,0,22,5,0,0,1,5,5,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,15:30,17:30,2:00,150,Driftnet,6,3,20,7,0,0,1,1,1,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,14:30,17:30,2:00,150,Driftnet,5.63,3,10,8,0,0,2,3,3,Fish Camp,Kwethluk
7/3/2017,7/3/2017,C,12:30,15:00,2:15,150,Driftnet,5.88,3,44,13,0,0,2,4,4,Boar Launch,Napaskiak
7/3/2017,7/3/2017,B,14:30,16:00,1:15,150,Driftnet,6,0,15,6,0,0,2,4,3,Boar Launch,Napaskiak
7/3/2017,7/3/2017,B,13:00,15:00,1:45,150,Driftnet,5.88,4,34,16,0,0,2,4,4,Village,Napaskiak
7/3/2017,7/3/2017,C,12:00,16:00,4:00,150,Driftnet,6,4,10,13,0,0,1,2,2,Village,Kwethluk
7/3/2017,7/3/2017,C,12:00,15:30,3:00,150,Driftnet,5.5,1,9,7,0,0,2,3,3,Village,Kwethluk
7/3/2017,7/3/2017,C,14:00,17:30,3:00,150,Driftnet,5.63,4,10,12,0,0,2,3,2,Village,Kwethluk
7/3/2017,7/3/2017,C,12:00,18:00,5:00,150,Driftnet,6,10,12,14,0,0,3,3,4,Village,Kwethluk
