date.start,date.end,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
7/9/2021,7/9/2021,C,12:00,13:30,0:30,40,Driftnet,5.5,0,0,2,0,0,3,1,2,Village,Kwethluk
7/9/2021,7/9/2021,C,10:00,14:00,3:45,150,Driftnet,5.5,3,2,7,0,0,2,1,2,Fish camp,Kwethluk
7/9/2021,7/9/2021,C,10:30,13:30,2:45,150,Driftnet,6,0,3,35,0,0,2,1,2,Fish camp,Kwethluk
7/9/2021,7/9/2021,D1,6:30,7:30,0:45,150,Driftnet,5.875,0,0,88,0,0,2,1,3,Fish camp,Kwethluk
7/9/2021,7/9/2021,C,12:30,15:30,2:45,150,Driftnet,6,12,15,20,0,0,3,1,3,Fish camp,Kwethluk
7/9/2021,7/9/2021,C,12:00,15:00,2:45,150,Driftnet,6,12,10,43,0,0,3,1,3,Village,Kwethluk
7/9/2021,7/9/2021,D1,12:00,13:00,0:45,150,Driftnet,6,3,8,31,0,0,3,1,2,Fish camp,Kwethluk
7/9/2021,7/9/2021,C,10:30,15:30,4:45,150,Driftnet,6,0,4,23,0,0,3,1,1,Fish camp,Kwethluk
7/9/2021,7/9/2021,C,10:30,13:30,2:45,150,Driftnet,5,1,6,37,0,0,2,1,2,Village,Kwethluk
7/9/2021,7/9/2021,C,6:00,17:15,10:45,150,Driftnet,6,6,17,120,0,0,3,1,3,Village,Kwethluk
7/9/2021,7/9/2021,A,14:45,17:00,2:15,300,Driftnet,5,2,3,32,0,0,5,5,5,Village,Eek
7/9/2021,7/9/2021,C,9:00,10:15,0:45,300,Driftnet,6,4,0,18,1,0,3,2,3,Village,Kwethluk
7/9/2021,7/9/2021,C,14:00,15:15,1:00,150,Driftnet,6,6,0,34,0,0,2,1,3,Village,Kwethluk
7/9/2021,7/9/2021,C,7:00,11:00,3:30,150,Driftnet,6,5,13,25,0,0,1,2,2,Village,Kwethluk
7/9/2021,7/9/2021,C,6:15,9:00,2:30,300,Driftnet,6,4,1,49,0,0,2,2,3,Village,Kwethluk
7/9/2021,7/9/2021,C,12:00,15:30,3:00,150,Driftnet,6,2,1,30,0,0,3,1,4,Village,Kwethluk
7/9/2021,7/9/2021,C,12:00,15:00,2:00,150,Driftnet,6,10,10,42,0,0,3,3,4,Village,Kwethluk
7/9/2021,7/9/2021,B,9:00,14:00,3:30,150,Driftnet,5.5,4,33,38,1,0,5,4,5,Village,Napakiak
7/9/2021,7/9/2021,B,7:00,14:00,6:00,150,Driftnet,5.5,14,44,46,3,0,4,4,5,Village,Napakiak
7/9/2021,7/9/2021,B,7:00,15:00,7:00,150,Driftnet,6,18,35,37,3,0,5,4,5,Village,Napakiak
7/9/2021,7/9/2021,B,9:00,16:00,6:00,150,Driftnet,5.5,10,30,38,2,0,5,4,4,Village,Napakiak
7/9/2021,7/9/2021,B,11:00,17:00,5:00,150,Driftnet,5.5,8,44,48,2,0,5,4,5,Village,Napakiak
7/9/2021,7/9/2021,B,8:00,16:00,7:00,150,Driftnet,5.375,17,45,52,5,0,5,4,5,Village,Napakiak
7/9/2021,7/9/2021,B,9:00,16:00,6:00,150,Driftnet,5.5,15,38,40,2,0,5,4,4,Fish camp,Napakiak
7/9/2021,7/9/2021,B,7:30,10:00,2:15,150,Driftnet,6,4,0,36,0,0,3,1,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,7:00,10:00,3:00,150,Driftnet,6,0,5,29,0,0,5,4,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,7:00,10:30,3:15,150,Driftnet,6,8,6,40,0,0,1,1,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,11:00,15:00,4:00,150,Driftnet,5.5,3,0,20,0,0,5,1,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,6:00,11:00,5:00,150,Driftnet,6,0,3,37,0,0,4,1,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,10:30,12:00,1:15,150,Driftnet,6,2,4,26,0,0,3,1,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,12:15,16:00,3:15,150,Driftnet,6,6,3,43,0,0,4,1,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,6:00,11:00,5:00,150,Driftnet,5.625,0,6,34,0,0,4,2,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,9:30,13:00,3:00,150,Driftnet,5.5,2,4,17,0,0,4,1,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,6:00,14:15,8:15,150,Driftnet,6,5,9,49,0,0,5,1,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,7:00,11:45,4:45,150,Driftnet,5.625,3,4,29,0,0,2,1,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,10:00,12:15,2:15,150,Driftnet,5.875,0,2,19,0,0,3,1,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,13:00,16:30,3:00,150,Driftnet,6,1,15,20,0,0,3,3,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,13:00,15:30,2:15,150,Driftnet,6,2,2,40,0,0,3,2,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,12:00,13:30,1:15,150,Driftnet,6,1,5,50,0,0,5,3,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,10:30,13:30,2:30,150,Driftnet,6,4,6,25,0,0,3,2,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,6:30,10:00,3:15,150,Driftnet,6,2,4,44,0,0,4,1,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,14:00,16:45,2:30,150,Driftnet,6,1,5,25,0,0,4,2,3,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,8:30,12:30,3:30,150,Driftnet,6,3,4,21,0,0,4,2,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,10:00,14:30,4:00,150,Driftnet,6,2,4,19,0,0,5,1,4,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,11:30,14:30,2:45,150,Driftnet,6,0,2,23,0,0,3,2,5,Fish camp,Napaskiak
7/9/2021,7/9/2021,B,7:00,12:30,5:00,150,Driftnet,5.875,2,5,18,1,0,4,2,4,Fish camp,Napaskiak
