date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/17/2023,D1,7:00,19:00,11:30,50,Driftnet,5.25,1,0,1,0,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,50,Driftnet,5.875,2,3,2,2,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,150,Driftnet,5.875,0,1,0,0,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,150,Driftnet,5.875,20,1,10,1,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,210,Driftnet,6,6,0,0,0,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,3:00,270,Driftnet,5.5,8,0,4,0,0,3,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,180,Setnet,6,3,4,5,1,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,150,Driftnet,5.5,1,4,0,0,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,210,Driftnet,6,8,8,8,2,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,19:00,11:30,210,Driftnet,5.875,0,0,3,0,0,1,1,1,Community boat launch,Tuluksak
6/17/2023,D1,7:00,17:00,9:00,150,Driftnet,5.875,12,10,0,0,0,1,1,1,Fish camp,Akiak
6/17/2023,D1,13:00,15:00,1:45,150,Driftnet,6,24,1,0,1,0,1,1,1,Village,Akiak
6/17/2023,D1,7:00,19:00,11:30,150,Driftnet,6,31,5,3,1,0,1,1,1,Village,Akiak
6/17/2023,D1,7:00,15:30,7:00,150,Driftnet,6,25,15,10,0,0,1,1,1,Phone,Akiak
6/17/2023,D1,11:00,15:30,4:00,150,Driftnet,5.5,10,0,6,1,0,1,1,1,Fish camp,Akiak
6/17/2023,D1,8:00,18:00,9:00,60,Driftnet,5.5,23,4,1,0,0,1,1,1,Fish camp,Akiak
6/17/2023,D1,7:00,15:00,7:30,150,Driftnet,5.625,6,0,2,1,0,1,1,1,Village,Akiak
6/17/2023,B,7:00,12:00,4:30,120,Driftnet,5.5,18,5,36,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,7:00,10:30,3:00,150,Driftnet,5.625,10,5,11,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,9:30,10:30,0:45,90,Driftnet,6,3,3,2,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,7:30,10:30,2:45,60,Driftnet,5.5,3,2,2,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,8:00,10:30,2:00,150,Driftnet,5.625,8,4,22,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,9:00,12:00,2:30,150,Driftnet,6,10,0,4,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,7:00,12:30,5:00,150,Driftnet,5.5,6,2,7,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,16:00,18:00,1:45,75,Driftnet,6,4,6,2,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,14:00,18:00,4:00,150,Driftnet,6,4,1,6,0,0,1,1,1,Village,Napakiak
6/17/2023,B,10:00,18:30,8:00,150,Driftnet,6,13,6,12,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,10:00,17:00,6:30,150,Driftnet,6,4,4,7,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,8:00,17:00,8:30,150,Driftnet,6,23,2,6,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,B,16:00,18:30,2:15,60,Driftnet,6,3,0,1,0,0,1,1,1,Village,Napakiak
6/17/2023,B,7:00,16:00,8:30,120,Driftnet,6,23,15,28,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,13:00,19:00,5:30,150,Driftnet,6,15,6,9,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,8:00,19:00,10:30,150,Driftnet,6,30,15,15,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,8:00,19:00,10:30,150,Driftnet,6,12,10,10,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,9:00,19:00,9:30,150,Driftnet,6,10,2,20,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,8:30,18:30,9:30,150,Driftnet,6,21,2,16,1,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,9:00,17:00,7:30,150,Driftnet,5.5,19,6,12,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,D2,7:00,19:00,10:00,210,Setnet,5.625,13,2,5,0,0,1,1,1,Village,Tuluksak
6/17/2023,B,8:30,16:30,7:30,60,Setnet,5.5,2,0,4,0,0,1,1,1,Fish camp,Napakiak
6/17/2023,B,10:00,15:30,5:00,60,Setnet,6,3,1,0,0,0,1,1,1,Community boat launch,Napakiak
6/17/2023,C,8:00,15:30,6:00,60,Driftnet,5.75,13,2,5,1,0,1,1,1,Village,Kwethluk
6/17/2023,C,9:30,14:30,4:00,60,Driftnet,5.75,7,1,1,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,11:15,16:45,4:15,60,Driftnet,6,9,0,2,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,10:15,17:00,5:45,60,Driftnet,5.75,9,1,3,1,0,1,1,1,Village,Kwethluk
6/17/2023,C,7:00,14:00,5:45,150,Driftnet,6,12,5,4,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,10:30,16:00,4:15,150,Driftnet,6,3,4,1,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,11:15,18:45,6:15,150,Driftnet,6,13,3,6,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,11:00,17:00,5:30,150,Driftnet,6,17,0,8,0,0,1,1,1,Village,Kwethluk
6/17/2023,B,7:00,17:30,10:15,300,Driftnet,5.625,24,5,12,0,0,2,1,1,Fish camp,Napaskiak
6/17/2023,B,7:45,16:00,8:00,300,Driftnet,6,18,9,18,0,0,1,2,2,Fish camp,Napaskiak
6/17/2023,B,10:00,16:00,5:45,300,Driftnet,6,29,4,18,0,1,1,1,1,Fish camp,Napaskiak
6/17/2023,B,14:00,18:15,4:00,300,Driftnet,6,13,2,5,0,0,1,1,1,Village,Napaskiak
6/17/2023,B,8:15,18:30,10:00,300,Driftnet,6,19,10,17,0,0,1,1,1,Village,Napaskiak
6/17/2023,B,11:30,16:45,5:00,300,Driftnet,6,12,4,11,0,0,1,1,1,Village,Napaskiak
6/17/2023,B,12:00,13:00,0:30,300,Driftnet,6,0,0,0,0,0,1,1,1,Village,Napaskiak
6/17/2023,B,12:30,16:30,3:45,300,Driftnet,6,10,3,4,0,0,1,1,1,Village,Napaskiak
6/17/2023,C,7:00,10:00,3:00,270,Driftnet,6,20,17,3,1,0,1,1,1,Village,Akiachak
6/17/2023,B,13:30,18:00,4:15,300,Driftnet,6,7,9,10,0,0,1,1,1,Village,Napaskiak
6/17/2023,C,7:00,11:00,4:00,270,Driftnet,6,12,2,2,1,1,1,1,1,Village,Akiachak
6/17/2023,C,7:00,17:00,10:00,270,Driftnet,6,40,0,19,1,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,10:00,3:00,210,Driftnet,6,24,3,4,0,1,1,1,1,Village,Akiachak
6/17/2023,C,7:00,17:00,9:00,270,Driftnet,6,30,7,4,0,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,10:00,3:00,100,Driftnet,6,20,8,7,0,1,1,1,1,Village,Akiachak
6/17/2023,C,7:00,17:00,9:00,270,Driftnet,6,30,7,4,0,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,10:00,3:00,180,Driftnet,6,20,8,7,0,1,1,1,1,Village,Akiachak
6/17/2023,C,7:00,19:00,12:00,270,Driftnet,6,13,8,7,0,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,16:30,8:00,270,Driftnet,6,42,12,5,1,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,15:00,7:00,270,Driftnet,6,40,0,4,0,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,18:30,7:00,60,Driftnet,5.75,26,5,1,0,0,2,1,1,Village,Kwethluk
6/17/2023,C,13:15,18:45,1:30,60,Driftnet,5.75,11,0,6,0,0,1,1,1,Village,Kwethluk
6/17/2023,C,7:00,17:00,6:30,60,Driftnet,5.75,30,11,15,0,0,2,2,2,Village,Kwethluk
6/17/2023,C,7:00,18:45,8:00,60,Driftnet,5.75,35,4,12,0,0,3,1,2,Village,Kwethluk
6/17/2023,C,7:00,14:00,6:00,270,Driftnet,6,42,6,4,1,0,1,5,5,Village,Akiachak
6/17/2023,C,8:30,15:00,6:00,150,Driftnet,5.5,30,20,10,0,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,12:30,5:00,270,Driftnet,5.5,26,6,11,1,0,1,1,1,Village,Akiachak
6/17/2023,C,7:00,12:30,5:00,270,Driftnet,5.5,33,0,16,1,0,1,1,1,Village,Akiachak
6/17/2023,C,7:15,12:00,4:30,270,Driftnet,5.75,16,0,3,0,0,1,1,1,Village,Akiachak
6/17/2023,B,7:00,14:00,5:30,150,Driftnet,6,42,8,9,1,0,2,1,1,Fish camp,Napaskiak
