date,gear,stratum,mesh ,length,trip.start,trip.end,soak.min,chinook,chum,sockeye ,sheefish,whitefish
6/23/2023,Drift,A,6,250,8:00,10:30,90,10,5,3,0,0
6/23/2023,Drift,C,6,150,10:00,11:30,60,3,3,3,0,0
6/23/2023,Drift,A,6,150,7:00,10:30,80,6,7,5,0,0
6/23/2023,Drift,C,6,150,7:15,11:30,120,8,2,8,0,0
6/23/2023,Drift,C,6,150,7:00,12:10,210,15,23,15,0,0
6/23/2023,Drift,B,6,150,8:30,11:50,120,3,7,6,0,0
6/23/2023,Drift,C,5.875,150,7:00,12:00,240,10,6,12,0,0
6/23/2023,Drift,C,6,150,7:00,11:22,180,3,8,3,0,0
6/23/2023,Drift,C,5.5,150,7:30,11:52,210,0,1,3,0,0
6/23/2023,Drift,C,5.875,150,9:30,12:00,90,2,5,17,0,0
6/23/2023,Drift,C,6,60,8:00,12:17,125,7,4,3,0,0
6/23/2023,Drift,C,6,150,7:30,12:22,225,4,4,8,0,0
6/23/2023,Drift,C,6,150,7:15,12:28,210,14,0,16,0,0
6/23/2023,Drift,C,6,150,6:30,11:20,140,9,25,12,0,0
6/23/2023,Drift,C,6,150,6:30,11:55,180,10,12,30,0,1
6/23/2023,Drift,C,6,60,7:00,11:30,270,0,0,20,0,0
6/23/2023,Drift,C,6,50,7:00,12:05,150,0,0,2,0,0
6/23/2023,Drift,C,5.375,150,6:10,12:10,175,18,12,8,0,0
6/23/2023,Drift,C,6,150,6:45,12:10,125,8,1,5,0,0
6/23/2023,Drift,C,6,40,10:00,11:44,60,2,0,0,0,0
6/23/2023,Drift,B,6,150,7:00,12:08,300,13,6,28,0,0
6/23/2023,Drift,C,6,150,7:00,11:45,180,5,5,11,0,0
6/23/2023,Drift,C,5.375,140,7:20,12:00,200,1,0,19,0,0
6/23/2023,Drift,C,6,50,7:30,12:00,180,14,3,15,0,0
6/23/2023,Drift,C,6,150,7:05,13:25,320,6,5,15,0,1
6/23/2023,Drift,B,6,150,8:00,12:00,300,7,5,20,0,0
6/23/2023,Drift,A,5.5,300,7:00,12:00,125,25,22,23,0,0
6/23/2023,Drift,C,6,150,7:30,14:00,360,7,3,8,0,1
6/23/2023,Drift,B,5.375,120,7:30,13:30,225,1,5,30,1,0
6/23/2023,Drift,B,6,150,7:30,13:00,270,5,10,10,0,0
6/23/2023,Drift,C,5.5,150,12:00,14:00,90,1,0,0,1,0
6/23/2023,Drift,C,6,150,9:00,12:51,180,1,1,9,2,0
6/23/2023,Drift,C,6,150,7:30,13:46,300,4,7,7,0,0
6/23/2023,Drift,C,6,150,11:00,14:00,75,1,0,1,0,0
6/23/2023,Drift,C,6,150,9:00,14:00,240,3,4,16,0,0
6/23/2023,Drift,B,6,150,7:00,12:45,175,16,14,26,0,0
6/23/2023,Drift,C,6,150,7:30,13:38,180,3,2,4,0,0
6/23/2023,Drift,C,6,150,9:30,13:30,150,4,1,6,0,0
6/23/2023,Drift,B,6,150,8:30,14:07,120,12,9,35,0,0
6/23/2023,Drift,B,6,150,10:30,14:36,210,1,0,6,0,0
6/23/2023,Drift,C,5.25,100,7:00,13:14,210,8,4,47,0,0
6/23/2023,Drift,C,6,150,10:30,14:09,100,0,1,3,0,0
6/23/2023,Drift,B,6,150,7:00,14:23,360,15,16,24,0,2
6/23/2023,Drift,B,6,150,8:30,13:40,150,2,8,7,0,0
6/23/2023,Drift,C,6,150,7:00,14:16,170,3,1,15,0,0
6/23/2023,Drift,B,6,120,8:00,14:08,375,8,7,8,0,0
6/23/2023,Drift,B,5.5,130,7:30,14:48,150,20,60,40,6,0
6/23/2023,Drift,B,5,100,7:00,14:52,98,0,9,30,0,0
6/23/2023,Drift,C,6,150,6:45,14:54,270,2,3,5,0,0
6/23/2023,Drift,C,6,150,7:10,15:24,360,5,6,15,1,0
6/23/2023,Drift,C,6,150,7:00,15:44,540,45,10,25,0,0
6/23/2023,Drift,C,6,150,7:00,14:00,390,14,3,4,2,0
6/23/2023,Drift,B,6,150,9:00,13:00,60,2,4,26,0,0
6/23/2023,Drift,C,6,150,6:30,10:58,80,2,0,11,0,0
6/23/2023,Drift,C,6,270,14:30,15:23,30,3,3,2,0,0
6/23/2023,Drift,C,6,150,13:00,15:28,50,1,0,0,0,0
6/23/2023,Drift,A,6,300,6:30,15:31,400,15,0,0,0,0
6/23/2023,Drift,C,5,40,8:00,16:25,100,1,0,1,0,0
6/23/2023,Drift,C,6,150,7:00,16:04,350,16,7,19,0,0
6/23/2023,Drift,A,6,300,8:00,16:00,240,40,30,30,0,0
6/23/2023,Drift,C,6,150,7:00,15:50,375,15,20,15,0,0
6/23/2023,Drift,C,6,150,12:00,16:30,120,1,0,1,0,0
6/23/2023,Drift,C,6,150,7:30,16:37,420,4,13,7,0,0
6/23/2023,Drift,A,6,300,6:00,16:44,180,20,4,10,0,0
6/23/2023,Drift,C,5.5,150,7:00,17:04,180,6,4,29,0,0
6/23/2023,Drift,C,6,150,9:00,16:30,360,13,7,12,1,0
6/23/2023,Drift,C,6,150,7:10,15:00,700,15,0,10,0,0
6/23/2023,Drift,B,6,150,8:00,15:30,360,10,2,12,0,0
6/23/2023,Drift,C,6,100,7:30,15:51,60,0,1,0,0,0
6/23/2023,Drift,C,6,150,9:30,15:57,240,13,5,4,0,0
6/23/2023,Drift,B,6,150,10:00,16:02,50,7,5,20,0,0
