date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,coho,sheefish,whitefish
6/23/2023,6/23/2023,Drift,C,5.5,150,6:30,19:15,720,5,4,45,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:45,15:30,210,12,3,28,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:30,14:30,270,10,3,36,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,8:00,17:00,375,8,7,16,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:45,15:30,210,12,3,28,0,0,0
6/23/2023,6/23/2023,Drift,C,6,100,10:00,12:30,75,1,0,1,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,16:00,300,30,15,50,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,10:00,16:00,150,9,0,9,0,0,0
6/23/2023,6/23/2023,Drift,C,6,100,8:30,15:00,240,4,6,15,0,0,0
6/23/2023,6/23/2023,Drift,A,6,200,5:00,18:00,165,22,15,15,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,9:30,13:00,140,4,4,6,0,0,0
6/23/2023,6/23/2023,Set,C,5.375,60,10:00,17:00,540,4,0,18,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,18:45,450,13,6,30,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,19:00,360,32,30,4,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,18:30,495,21,13,19,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,10:30,90,12,11,10,0,0,1
6/23/2023,6/23/2023,Drift,C,6,150,7:30,14:00,225,6,15,15,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,8:00,17:00,240,5,3,10,0,0,0
6/23/2023,6/23/2023,Drift,C,6,50,14:00,18:00,180,1,0,5,0,2,0
6/23/2023,6/23/2023,Set,C,6,100,13:00,18:45,545,1,0,1,0,0,0
6/23/2023,6/23/2023,Drift,C,5.5,150,7:00,19:00,600,21,14,29,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,11:30,225,5,14,3,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:40,14:30,480,14,3,4,0,2,0
6/23/2023,6/23/2023,Drift,C,6,150,7:20,12:30,200,8,5,12,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,12:30,360,23,8,6,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:30,17:00,450,8,2,37,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:00,18:10,480,18,2,44,0,0,0
6/23/2023,6/23/2023,Set,C,6,40,7:00,18:10,660,2,0,3,0,0,0
6/23/2023,6/23/2023,Drift,C,6,60,7:00,12:00,100,6,9,15,0,0,0
6/23/2023,6/23/2023,Drift,C,5.5,150,7:00,18:30,360,2,3,30,0,0,0
6/23/2023,6/23/2023,Drift,C,6,150,7:15,14:00,350,15,11,10,0,0,0
6/23/2023,6/23/2023,Drift,C,6,30,14:00,16:00,20,5,5,4,0,0,0
6/23/2023,6/23/2023,Drift,C,6,270,9:00,16:30,240,10,4,19,0,0,1
6/23/2023,6/23/2023,Drift,A,5,45,8:00,16:00,210,24,6,6,0,0,0
6/23/2023,6/23/2023,Drift,C,6,60,7:00,14:00,405,8,1,7,0,0,0
6/23/2023,6/23/2023,Drift,C,6,60,11:00,17:00,120,15,0,16,0,0,0
6/23/2023,6/23/2023,Drift,A,5.75,300,10:30,17:30,315,8,6,3,0,0,0
6/23/2023,6/23/2023,Drift,C,6,100,17:30,18:30,45,0,0,2,0,0,0
