date,gear,stratum,mesh ,length,trip.start,trip.end,soak.min,chinook,chum,sockeye ,sheefish,whitefish
6/22/2024,Drift,C,6,150,8:00,12:09,135,6,3,8,0,0
6/22/2024,Set,B,6,40,10:00,12:40,160,0,1,0,0,0
6/22/2024,Drift,B,6,150,6:30,12:40,300,25,8,25,0,4
6/22/2024,Drift,C,6,150,7:00,12:56,120,7,1,13,0,0
6/22/2024,Drift,C,5.75,150,11:00,13:04,90,2,1,2,0,0
6/22/2024,Drift,A,6,150,6:00,13:17,60,15,20,4,0,0
6/22/2024,Drift,B,6,150,7:00,13:54,300,10,4,12,0,0
6/22/2024,Drift,B,6,150,7:30,14:13,720,2,1,0,0,0
6/22/2024,Drift,C,6,150,6:30,14:15,240,30,10,0,0,0
6/22/2024,Drift,B,6,150,10:00,14:30,225,9,0,2,0,0
6/22/2024,Drift,C,6,150,8:30,14:40,175,5,2,2,0,0
6/22/2024,Drift,C,6,150,7:30,14:52,600,18,5,14,0,0
6/22/2024,Drift,B,6,150,10:00,14:54,280,6,6,5,0,0
6/22/2024,Drift,B,6,150,7:30,14:54,480,6,13,6,1,0
6/22/2024,Drift,C,6,150,7:00,13:24,80,11,0,3,0,0
6/22/2024,Drift,A,5,300,7:00,13:26,120,7,12,43,0,0
6/22/2024,Drift,C,4,150,7:00,13:31,135,3,0,10,0,0
6/22/2024,Drift,C,6,150,7:30,13:33,180,10,10,5,0,0
6/22/2024,Drift,C,6,150,7:15,13:38,225,25,20,10,0,0
6/22/2024,Set,C,6,75,7:15,13:20,365,10,10,5,0,1
6/22/2024,Drift,C,5.5,100,9:00,13:45,150,13,3,5,0,0
6/22/2024,Drift,C,6,150,7:00,13:48,360,18,16,6,0,0
6/22/2024,Drift,C,6,150,12:00,14:01,110,0,0,3,0,0
6/22/2024,Drift,C,5.375,150,11:30,14:10,20,2,4,2,0,0
6/22/2024,Drift,C,6,150,9:30,14:20,135,6,0,3,0,0
6/22/2024,Drift,C,6,150,12:00,14:31,90,1,1,1,0,0
6/22/2024,Drift,B,6,150,11:30,14:35,150,7,7,0,0,0
6/22/2024,Drift,C,6,150,8:30,14:41,240,14,8,4,0,0
6/22/2024,Drift,B,6,150,7:30,14:55,330,16,4,6,0,0
6/22/2024,Drift,C,6,150,7:00,15:40,420,10,15,15,0,0
6/22/2024,Drift,C,5.875,150,7:00,15:00,450,20,10,20,0,0
6/22/2024,Drift,C,6,300,7:15,16:00,480,4,0,4,0,0
6/22/2024,Drift,C,6,150,8:00,16:00,210,5,3,4,0,0
6/22/2024,Drift,C,6,150,11:00,14:00,180,2,2,0,0,0
6/22/2024,Drift,C,6,150,8:00,14:00,360,6,6,5,0,0
6/22/2024,Drift,B,6,150,12:30,16:00,240,14,2,18,1,0
6/22/2024,Drift,C,5.5,100,8:30,16:33,100,1,1,6,0,0
6/22/2024,Drift,C,5.75,150,7:00,8:28,60,1,1,10,0,0
6/22/2024,Drift,B,6,150,8:00,9:30,40,3,2,2,0,0
6/22/2024,Drift,C,6,150,7:00,9:40,150,7,12,5,0,0
6/22/2024,Drift,C,6,150,7:00,10:08,120,10,2,5,0,0
6/22/2024,Drift,C,6,150,7:00,10:19,30,1,2,2,0,0
6/22/2024,Drift,C,6,150,7:00,10:52,100,15,5,15,0,0
6/22/2024,Drift,C,5.75,150,7:30,16:20,540,15,5,15,0,0
6/22/2024,Drift,O,6,300,8:00,16:34,175,18,15,4,0,0
6/22/2024,Drift,C,5.75,150,14:00,16:38,150,3,7,5,0,0
6/22/2024,Drift,B,5.5,150,7:30,16:57,360,40,20,0,1,1
6/22/2024,Drift,C,6,150,12:00,17:00,120,4,9,0,0,0
6/22/2024,Drift,B,6,150,6:30,17:29,240,31,3,13,0,1
6/22/2024,Drift,B,6,120,9:30,17:33,315,0,5,0,0,0
6/22/2024,Drift,B,6,150,10:00,17:37,360,14,4,22,0,0
6/22/2024,Drift,C,6,150,16:00,17:41,60,3,1,1,0,0
6/22/2024,Drift,C,5.5,150,14:00,16:09,90,4,1,2,0,0
6/22/2024,Drift,O,6,150,7:00,16:11,360,7,8,7,0,0
6/22/2024,Drift,C,6,150,14:30,16:14,30,2,1,2,0,0
6/22/2024,Drift,C,5.5,150,7:00,17:05,100,17,12,2,0,0
6/22/2024,Drift,B,5,150,13:30,13:00,120,0,0,5,0,0
6/22/2024,Drift,C,6,150,7:00,17:34,450,14,14,13,0,0
6/22/2024,Drift,B,5.5,45,12:00,17:47,100,21,20,16,0,0
6/22/2024,Drift,O,6,300,5:00,17:50,30,23,0,25,0,0
6/22/2024,Drift,B,6,150,10:00,18:15,60,3,4,0,0,0
6/22/2024,Drift,C,6,150,12:00,18:17,225,4,4,1,0,0
6/22/2024,Drift,B,6,150,14:00,18:18,15,0,0,1,0,0
6/22/2024,Drift,B,6,150,12:00,18:21,320,8,2,9,0,0
6/22/2024,Set,B,6,20,17:30,18:27,57,8,0,11,0,0
6/22/2024,Drift,B,6,120,17:00,18:31,90,0,0,1,0,0
6/22/2024,Drift,B,6,150,10:15,14:57,45,23,0,0,2,0
6/22/2024,Drift,C,5,150,8:30,15:23,45,0,15,25,0,0
6/22/2024,Drift,D1,6,150,9:00,15:57,180,15,1,4,0,0
6/22/2024,Drift,B,5.875,150,7:00,15:58,160,10,10,10,0,0
6/22/2024,Drift,A,5.875,150,6:30,16:01,240,20,20,30,0,0
6/22/2024,Drift,B,5.5,36,16:45,19:25,60,1,3,3,0,0
6/22/2024,Drift,C,6,75,8:30,19:40,420,7,23,8,0,0
6/22/2024,Drift,A,5.25,100,7:00,19:54,180,18,10,6,0,0
6/22/2024,Drift,C,6,150,9:00,19:58,285,17,12,10,0,0
6/22/2024,Drift,C,6,150,9:30,17:48,140,8,5,16,0,0
6/22/2024,Drift,B,6,150,8:30,17:53,360,7,4,7,0,0
6/22/2024,Drift,C,4,100,12:00,18:00,240,2,1,11,0,1
6/22/2024,Drift,C,6,150,10:30,18:17,180,10,4,0,0,0
6/22/2024,Drift,A,5.25,41,13:00,18:43,100,10,11,20,0,0
