date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/22/2024,6/22/2024,Drift,C,6,150,9:00,17:15,180,10,8,3,0,0
6/22/2024,6/22/2024,Drift,C,6,150,8:30,18:12,150,11,0,5,0,0
6/22/2024,6/22/2024,Drift,C,5,50,8:30,15:00,45,5,5,40,0,0
6/22/2024,6/22/2024,Drift,C,6,150,7:00,18:30,600,40,2,72,0,0
6/22/2024,6/22/2024,Drift,C,5.875,150,7:00,14:00,420,7,7,7,0,0
6/22/2024,6/22/2024,Drift,C,6,150,7:30,13:00,300,14,2,28,0,0
6/22/2024,6/22/2024,Drift,A,5.875,300,6:00,14:00,150,20,2,64,0,0
6/22/2024,6/22/2024,Drift,C,6,150,6:30,12:00,250,9,4,16,0,0
6/22/2024,6/22/2024,Drift,C,6,300,10:20,16:30,160,20,15,2,0,0
6/22/2024,6/22/2024,Drift,D1,6,150,7:30,15:30,200,3,20,20,0,0
6/22/2024,6/22/2024,Drift,C,5.75,150,7:00,16:00,400,55,12,25,0,0
