date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,coho,chum,sockeye,sheefish,whitefish
8/10/2024,Drift,C,6,150,9:00,11:05,75,0,15,1,0,0,0
8/10/2024,Drift,C,5.25,150,8:50,11:58,105,0,22,1,0,0,0
8/10/2024,Drift,C,6,150,10:00,13:19,60,0,15,3,0,0,0
8/10/2024,Drift,C,6,150,9:45,14:17,240,0,22,2,0,0,0
8/10/2024,Drift,C,6,150,10:30,14:18,160,0,22,0,1,0,0
8/10/2024,Drift,C,6,150,10:00,15:03,60,0,50,0,0,0,0
8/10/2024,Drift,C,6,150,10:00,15:17,225,0,25,0,1,0,0
8/10/2024,Drift,C,6,150,11:00,15:20,110,0,22,1,0,0,1
8/10/2024,Drift,C,6,120,9:00,15:23,180,0,60,0,0,0,0
8/10/2024,Drift,B,6,60,12:30,15:52,180,0,20,0,0,0,0
8/10/2024,Drift,C,5.5,75,10:00,16:08,150,0,15,1,0,0,0
8/10/2024,Drift,C,5.5,150,10:55,16:20,180,0,48,0,0,0,2
8/10/2024,Drift,C,5.875,65,15:00,16:45,80,0,11,0,0,0,0
8/10/2024,Drift,C,5.5,150,13:00,17:06,180,0,50,0,0,0,0
8/10/2024,Drift,C,5.5,150,16:00,18:07,120,0,31,1,1,0,0
8/10/2024,Drift,C,5.75,150,10:00,18:20,120,0,26,0,1,0,0
8/10/2024,Drift,C,5,100,14:30,18:52,60,0,25,0,0,0,0
8/10/2024,Drift,C,5.25,150,13:00,19:42,270,0,26,0,0,0,0
8/10/2024,Drift,C,5.625,150,11:00,14:00,90,0,11,0,0,0,0
8/10/2024,Drift,C,5.75,150,11:00,14:15,180,0,25,2,0,0,0
8/10/2024,Drift,B,6,150,11:00,15:00,150,0,10,0,1,0,0
8/10/2024,Drift,C,6,150,15:00,15:45,30,0,7,0,0,0,0
8/10/2024,Drift,C,5,300,13:00,16:20,120,0,6,0,0,0,0
8/10/2024,Set,B,6,150,15:00,16:00,60,0,3,0,0,0,0
8/10/2024,Drift,C,5.5,150,14:00,16:00,90,0,18,0,0,0,0
8/10/2024,Drift,C,6,150,11:00,16:00,300,0,10,0,0,0,0
8/10/2024,Drift,C,5.5,150,12:00,16:30,240,0,30,0,0,0,0
8/10/2024,Drift,B,6,150,7:00,16:30,180,0,21,0,0,0,0
8/10/2024,Set,C,4,60,13:00,15:00,120,0,0,0,1,0,0
8/10/2024,Drift,B,6,150,15:00,18:00,180,0,12,0,0,0,0
8/10/2024,Drift,C,6,150,14:00,18:30,180,0,20,0,0,0,0
8/10/2024,Drift,C,6,130,14:00,19:00,120,0,1,0,0,0,0
8/10/2024,Drift,B,5,60,18:00,19:00,20,0,0,0,0,0,0
8/10/2024,Drift,C,6,150,17:00,19:00,120,0,0,0,4,0,0
8/10/2024,Drift,C,5.5,150,15:00,19:00,240,0,19,0,1,0,0
8/10/2024,Drift,C,5.5,120,14:00,20:00,350,0,24,0,0,0,0
