date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2025,Drift,C,6,75,7:00,15:00,480,18,0,0,0,0
6/12/2025,Drift,C,6,150,7:15,11:00,160,22,2,2,0,0
6/12/2025,Drift,C,6,150,7:00,19:00,240,10,3,3,0,0
6/12/2025,Drift,C,6,150,10:30,19:00,NA,4,0,2,0,0
6/12/2025,Drift,C,5.625,150,7:00,17:30,630,19,1,1,0,0
6/12/2025,Drift,C,6,75,9:00,19:00,600,10,1,4,0,0
6/12/2025,Drift,C,6,150,10:30,12:30,80,6,1,2,0,0
6/12/2025,Drift,C,6,75,7:45,21:00,795,12,2,0,0,0
6/12/2025,Drift,C,NA,NA,7:00,14:00,150,15,0,2,1,0
6/12/2025,Drift,C,6,75,7:30,12:30,NA,15,0,0,0,0
6/12/2025,Drift,C,5.75,150,7:00,11:00,NA,27,1,3,1,0
