date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,Coho,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/16/2025,C,7:45,11:30,2:45,150,Driftnet,5.75,20,1,3,0,0,0,1,1,1,Fish camp,Akiachak
6/16/2025,C,7:00,10:30,2:30,75,Driftnet,5.5,25,3,37,0,0,0,1,1,1,Fish camp,Akiachak
6/16/2025,C,7:00,15:30,3:30,150,Driftnet,6,17,2,1,0,0,0,1,1,1,Fish camp,Akiachak
6/16/2025,C,7:30,18:30,4:00,70,Driftnet,6,50,14,10,0,0,0,4,1,1,Village,Tuluksak
6/16/2025,C,11:00,19:00,5:00,270,Driftnet,6,14,0,1,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,C,12:30,19:00,5:00,270,Driftnet,5.625,30,0,2,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,C,6:30,10:30,3:00,150,Driftnet,6,12,11,2,0,0,0,1,1,1,Village,Kwethluk
6/16/2025,C,9:00,11:30,1:30,150,Driftnet,6,7,6,7,0,1,0,1,1,1,Village,Kwethluk
6/16/2025,C,9:00,12:00,2:45,150,Driftnet,6,15,3,13,0,0,0,1,1,1,Village,Kwethluk
6/16/2025,C,11:45,15:30,3:00,50,Setnet,5.25,7,5,12,0,3,0,1,1,1,Village,Kwethluk
6/16/2025,C,7:00,19:00,10:45,150,Driftnet,5.5,20,2,44,0,1,0,1,1,1,Village,Kwethluk
6/16/2025,B,7:00,13:30,6:00,150,Driftnet,6,11,15,15,0,0,0,3,2,2,Fish camp,Napaskiak
6/16/2025,B,7:30,15:00,7:00,150,Driftnet,6,24,10,10,0,0,0,3,3,3,Fish camp,Napaskiak
6/16/2025,B,7:00,13:00,5:30,150,Driftnet,6,15,13,21,0,0,0,3,1,2,Fish camp,Napaskiak
6/16/2025,B,8:00,14:00,5:30,150,Driftnet,6,26,10,15,0,1,0,2,2,2,Fish camp,Napaskiak
6/16/2025,A,7:00,14:00,6:00,300,Driftnet,6,80,10,30,0,0,0,4,3,3,Fish camp,Napaskiak
6/16/2025,B,7:30,12:00,4:00,150,Driftnet,6,27,16,14,0,0,0,2,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,12:30,5:00,150,Driftnet,6,13,9,3,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,B,8:00,13:00,4:30,150,Driftnet,6,13,0,13,0,0,0,2,1,2,Fish camp,Napaskiak
6/16/2025,B,7:00,13:30,6:00,150,Driftnet,6,11,0,6,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,B,7:30,14:00,6:00,150,Driftnet,6,12,15,15,0,0,1,2,1,2,Fish camp,Napaskiak
6/16/2025,B,7:00,17:00,9:30,150,Driftnet,6,25,12,13,0,0,0,2,1,2,Village,Napaskiak
6/16/2025,C,9:30,17:00,7:00,150,Driftnet,6,10,14,14,0,0,0,1,1,1,Village,Napaskiak
6/16/2025,D1,7:30,10:30,2:30,75,Driftnet,6,11,7,8,0,0,0,1,2,1,Fish camp,Akiak
6/16/2025,D1,8:15,12:00,3:45,100,Driftnet,6,7,4,12,0,0,0,1,1,2,Fish camp,Akiak
6/16/2025,C,7:00,14:15,6:15,150,Driftnet,6,24,0,25,0,0,0,5,1,2,Fish camp,Kwethluk
6/16/2025,C,7:00,12:00,4:30,150,Driftnet,6,51,8,17,0,0,0,5,1,2,Fish camp,Kwethluk
6/16/2025,C,7:45,13:45,5:30,150,Driftnet,6,18,3,19,0,0,0,1,1,1,Fish camp,Kwethluk
6/16/2025,C,7:30,14:30,6:00,150,Driftnet,6,24,9,10,0,0,0,1,1,1,Fish camp,Kwethluk
6/16/2025,C,11:00,19:00,6:00,50,Setnet,6,8,0,0,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,C,10:00,19:00,5:00,45,Driftnet,6,13,7,5,0,0,0,2,2,1,Village,Tuluksak
6/16/2025,C,11:00,19:00,6:00,45,Driftnet,6,10,6,3,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,C,12:00,19:00,6:00,75,Driftnet,6,46,0,0,0,0,0,2,1,1,Village,Tuluksak
6/16/2025,D1,8:00,19:00,6:30,150,Driftnet,6,20,10,10,0,0,0,2,2,2,Village,Tuluksak
6/16/2025,B,7:00,13:00,5:30,50,Driftnet,5.5,17,6,4,0,0,0,2,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,13:00,5:15,60,Driftnet,5.5,22,3,5,0,0,0,2,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,14:00,6:30,150,Driftnet,6,20,3,46,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,16:00,8:15,150,Driftnet,6,20,7,10,0,0,0,4,1,1,Fish camp,Napaskiak
6/16/2025,C,7:00,11:00,3:15,150,Driftnet,6,5,10,6,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,10:30,3:00,150,Driftnet,6,13,8,28,0,0,0,4,4,4,Fish camp,Napaskiak
6/16/2025,B,7:00,11:30,4:00,150,Driftnet,5.625,15,22,11,0,0,1,3,2,3,Fish camp,Napaskiak
6/16/2025,B,7:00,18:00,8:15,75,Driftnet,6,1,2,15,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,A,7:00,13:00,5:15,300,Driftnet,6,10,1,14,0,0,0,1,1,1,Fish camp,Napaskiak
6/16/2025,B,7:00,17:30,8:45,150,Driftnet,6,31,11,6,0,0,0,3,2,2,Fish camp,Napaskiak
6/16/2025,B,7:00,12:00,4:00,120,Driftnet,5.5,70,25,20,0,0,0,1,1,1,Fish camp,Napakiak
6/16/2025,B,12:00,15:00,2:30,120,Driftnet,5.5,14,8,7,0,0,0,1,1,1,Fish camp,Napakiak
6/16/2025,B,11:00,17:00,5:00,120,Driftnet,5.5,3,9,15,0,0,0,1,1,1,Community boat launch,Napakiak
6/16/2025,B,11:00,17:00,5:00,150,Driftnet,6,5,2,2,0,0,0,5,1,1,Community boat launch,Napakiak
6/16/2025,B,7:30,17:30,9:00,150,Driftnet,5.5,22,15,1,0,0,0,1,1,1,Fish camp,Napakiak
6/16/2025,C,8:00,18:00,9:00,300,Driftnet,5.875,10,7,40,0,0,0,1,1,1,Village,Napakiak
6/16/2025,C,8:00,18:00,9:00,300,Driftnet,5.875,42,17,28,0,0,0,1,1,1,Village,Napakiak
6/16/2025,B,11:00,18:30,6:30,150,Driftnet,5.625,30,10,3,0,0,0,1,1,1,Fish camp,Napakiak
6/16/2025,B,10:00,18:00,7:00,150,Driftnet,5.625,29,14,9,0,0,0,1,1,1,Fish camp,Napakiak
6/16/2025,A,8:00,15:00,4:30,300,Driftnet,6,21,7,3,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2025,A,9:30,14:30,3:00,300,Driftnet,6,22,7,2,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2025,A,8:00,12:30,2:30,150,Driftnet,6,14,6,3,0,0,0,1,1,1,Village,Tuntutuliak
6/16/2025,A,13:00,18:00,4:30,150,Driftnet,6,28,16,11,0,0,0,4,1,1,Village,Tuntutuliak
6/16/2025,D1,7:00,7:45,0:30,100,Driftnet,6,5,4,4,0,0,0,1,2,1,Village,Akiak
6/16/2025,D1,8:15,9:15,0:45,100,Driftnet,6,3,1,7,0,0,0,1,1,1,Village,Akiak
6/16/2025,D1,12:45,14:00,1:00,100,Driftnet,6,8,5,10,0,0,0,2,2,2,Village,Akiak
6/16/2025,D1,15:30,16:30,0:45,100,Driftnet,6,0,0,0,0,0,0,1,1,1,Village,Akiak
6/16/2025,D1,17:30,18:45,1:00,100,Driftnet,6,2,1,4,0,0,0,2,1,2,Village,Akiak
6/16/2025,D1,8:15,9:30,1:00,75,Driftnet,6,7,5,4,0,0,0,2,2,1,Village,Akiak
6/16/2025,D1,7:15,8:00,0:30,74,Driftnet,6,3,5,7,0,0,0,1,1,1,Village,Akiak
6/16/2025,D1,8:45,10:00,1:00,75,Driftnet,6,4,2,5,0,0,0,1,1,1,Village,Akiak
6/16/2025,C,7:00,19:00,10:00,100,Driftnet,5.5,16,9,7,0,0,0,1,1,1,Village,Akiachak
6/16/2025,C,7:00,19:00,10:00,100,Driftnet,5.75,7,4,5,0,0,0,1,1,1,Village,Akiachak
6/16/2025,A,12:30,16:00,2:30,100,Driftnet,5.125,30,1,0,0,0,0,4,1,1,Village,Tuntutuliak
6/16/2025,C,7:00,19:00,10:00,150,Driftnet,5.75,17,4,11,0,0,0,1,1,1,Village,Akiachak
6/16/2025,A,14:45,19:00,2:00,150,Driftnet,6,20,10,0,0,0,2,4,3,1,Community boat launch,Tuntutuliak
6/16/2025,A,12:00,20:00,3:00,150,Driftnet,6,22,12,0,0,0,1,3,3,1,Fish camp,Tuntutuliak
6/16/2025,A,13:45,21:00,2:30,150,Driftnet,6,22,11,0,0,0,0,3,3,1,Village,Tuntutuliak
6/16/2025,A,14:30,21:00,2:30,50,Driftnet,6,10,11,0,0,0,0,3,4,1,Village,Tuntutuliak
6/16/2025,A,15:00,21:00,3:00,150,Driftnet,6,14,11,0,0,0,2,3,3,1,Village,Tuntutuliak
6/16/2025,C,10:30,19:00,6:45,300,Driftnet,6,43,0,0,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,C,8:00,19:00,10:00,270,Driftnet,6,23,0,0,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,D1,7:00,11:30,4:00,150,Driftnet,5.625,11,8,5,0,0,0,3,2,1,Village,Akiak
6/16/2025,D1,7:30,12:00,4:30,75,Driftnet,5.625,20,12,4,0,0,0,3,2,1,Village,Akiak
6/16/2025,D1,7:00,10:00,2:30,50,Driftnet,5.125,16,4,3,0,0,0,2,1,1,Village,Akiak
6/16/2025,D1,7:00,11:00,3:30,60,Driftnet,6,18,10,5,0,0,0,3,2,1,Village,Akiak
6/16/2025,C,8:00,19:00,7:00,270,Driftnet,6,2,1,7,0,0,0,1,1,1,Village,Tuluksak
6/16/2025,D1,8:00,11:00,2:30,75,Driftnet,5.5,23,11,6,0,0,0,4,2,1,Village,Akiak
6/16/2025,C,7:30,19:00,10:00,75,Driftnet,6,47,25,26,0,0,0,3,2,3,Village,Tuluksak
6/16/2025,D1,7:30,10:30,2:30,75,Driftnet,6,28,11,8,0,0,0,4,2,2,Village,Akiak
6/16/2025,D1,12:30,16:00,3:00,150,Driftnet,5.625,16,7,0,0,0,0,3,2,1,Village,Akiak
6/16/2025,D1,13:00,17:00,3:30,75,Driftnet,5.625,15,10,5,0,0,0,3,2,2,Village,Akiak
6/16/2025,D1,11:30,16:00,4:00,50,Driftnet,5.125,13,7,2,0,0,0,3,2,1,Village,Akiak
6/16/2025,C,8:00,19:00,10:00,270,Driftnet,6,75,26,0,0,6,0,3,3,1,Village,Tuluksak
6/16/2025,C,7:00,18:30,5:00,100,Driftnet,6,47,3,0,0,1,4,3,1,1,Fish camp,Akiachak
6/16/2025,C,7:00,18:30,6:00,75,Driftnet,6,54,0,0,0,0,2,3,1,1,Village,Akiachak
6/16/2025,C,7:45,18:45,8:00,50,Driftnet,5.625,10,2,0,0,0,0,1,1,1,Village,Akiachak
6/16/2025,C,7:00,17:45,5:00,100,Driftnet,6,78,2,0,0,1,2,3,1,1,Village,Akiachak
6/16/2025,C,7:00,18:30,6:00,60,Driftnet,5.625,35,0,0,0,2,0,1,1,1,Village,Akiachak
6/16/2025,B,8:00,12:00,3:15,300,Setnet,6,35,12,24,0,0,0,4,3,3,Village,Eek
