date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/24/2025,6/24/2025,drift,C,6,150,7:00,17:30,240,22,28,72,0,0
6/24/2025,6/24/2025,drift,C,6,150,7:00,11:30,180,10,20,19,0,0
6/24/2025,6/24/2025,drift,C,6,150,7:00,8:00,60,3,20,20,0,0
6/24/2025,6/24/2025,drift,C,6,30,9:30,16:30,120,2,0,40,0,1
6/24/2025,6/24/2025,set,C,6,75,7:00,14:45,380,0,1,24,0,0
6/24/2025,6/24/2025,drift,C,6,75,14:00,16:00,180,1,5,5,0,0
6/24/2025,6/24/2025,drift,C,4,60,10:30,14:00,50,2,1,18,0,4
6/24/2025,6/24/2025,set,C,6,40,8:00,13:00,480,13,12,20,0,0
6/24/2025,6/24/2025,drift,C,6,100,14:00,17:10,135,7,5,0,0,0
6/24/2025,6/24/2025,drift,C,6,150,7:30,8:00,20,0,0,6,0,0
