date,gear,stratum,mesh ,length,trip.start,trip.end,soak.min,chinook,chum,sockeye ,coho,sheefish,whitefish
8/5/2025,Drift,C,5.75,150,11:00,12:00,30,1,0,0,27,0,0
8/5/2025,Drift,C,6,150,10:30,12:30,45,0,0,0,8,0,0
8/5/2025,Drift,C,6,75,11:30,13:10,60,0,2,0,13,0,0
8/5/2025,Drift,C,6,150,10:00,13:20,150,0,1,0,39,0,0
8/5/2025,Drift,C,6,150,9:00,13:30,200,0,4,0,46,0,0
8/5/2025,Drift,B,6,60,11:30,13:30,30,0,0,0,12,0,0
8/5/2025,Drift,B,5.5,150,11:00,14:05,30,0,0,0,40,0,0
8/5/2025,Drift,C,5.875,60,13:30,14:08,20,0,0,0,47,0,0
8/5/2025,Drift,B,6,120,11:00,14:08,80,0,4,0,42,0,0
8/5/2025,Drift,B,6,150,11:30,14:15,45,0,1,1,27,0,0
8/5/2025,Set,C,4,35,13:00,15:15,120,0,4,0,8,0,0
8/5/2025,Drift,B,6,150,13:30,15:30,20,0,0,0,20,0,0
8/5/2025,Drift,C,4,150,13:45,15:45,15,0,0,0,40,0,0
8/5/2025,Drift,C,6,150,12:30,16:20,150,0,0,0,13,0,0
8/5/2025,Drift,C,5.75,150,8:00,9:00,10,0,0,2,34,0,0
8/5/2025,Drift,C,5.5,150,9:30,11:30,90,0,0,0,40,2,0
8/5/2025,Drift,B,5.875,300,7:35,12:14,60,0,0,0,100,0,0
8/5/2025,Drift,C,6,150,10:00,12:52,60,0,0,0,38,0,0
8/5/2025,Drift,C,5.5,150,12:00,13:24,20,0,0,0,100,0,0
8/5/2025,Drift,B,5.75,150,12:00,13:35,25,0,0,0,100,0,0
8/5/2025,Drift,C,6,150,11:30,15:25,55,1,0,0,30,0,0
8/5/2025,Drift,C,6,150,10:00,15:30,120,0,0,0,23,0,0
8/5/2025,Drift,C,5.25,150,14:30,16:15,30,0,1,0,11,0,0
