Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2018,06/01,Kuskokwim River Sonar,Chinook,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/02,Kuskokwim River Sonar,Chinook,227,227,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/03,Kuskokwim River Sonar,Chinook,585,585,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/04,Kuskokwim River Sonar,Chinook,204,204,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/05,Kuskokwim River Sonar,Chinook,410,410,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/06,Kuskokwim River Sonar,Chinook,605,605,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/07,Kuskokwim River Sonar,Chinook,502,502,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/08,Kuskokwim River Sonar,Chinook,564,564,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/09,Kuskokwim River Sonar,Chinook,779,779,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/10,Kuskokwim River Sonar,Chinook,963,963,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/11,Kuskokwim River Sonar,Chinook,1309,1309,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/12,Kuskokwim River Sonar,Chinook,940,940,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/13,Kuskokwim River Sonar,Chinook,1897,1897,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/14,Kuskokwim River Sonar,Chinook,2398,2398,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/15,Kuskokwim River Sonar,Chinook,2954,2954,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/16,Kuskokwim River Sonar,Chinook,3452,3452,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/17,Kuskokwim River Sonar,Chinook,5140,5140,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/18,Kuskokwim River Sonar,Chinook,3388,3388,Calculated,Sonar
