Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2018,06/01,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/02,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/03,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/04,Kuskokwim River Sonar,Chum,221,221,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/05,Kuskokwim River Sonar,Chum,225,225,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/06,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/07,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/08,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/09,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/10,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/11,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/12,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/13,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/14,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/15,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/16,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/17,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/18,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/19,Kuskokwim River Sonar,Chum,1360,1360,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/20,Kuskokwim River Sonar,Chum,283,283,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/21,Kuskokwim River Sonar,Chum,993,993,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/22,Kuskokwim River Sonar,Chum,4733,4733,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/23,Kuskokwim River Sonar,Chum,2111,2111,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/24,Kuskokwim River Sonar,Chum,7573,7573,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/25,Kuskokwim River Sonar,Chum,3825,3825,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/26,Kuskokwim River Sonar,Chum,2998,2998,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/27,Kuskokwim River Sonar,Chum,5095,5095,Calculated,Sonar
