Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2018,06/01,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/02,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/03,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/04,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/05,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/06,Kuskokwim River Sonar,Sockeye,376,376,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/07,Kuskokwim River Sonar,Sockeye,654,654,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/08,Kuskokwim River Sonar,Sockeye,771,771,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/09,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/10,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/11,Kuskokwim River Sonar,Sockeye,173,173,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/12,Kuskokwim River Sonar,Sockeye,107,107,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/13,Kuskokwim River Sonar,Sockeye,119,119,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/14,Kuskokwim River Sonar,Sockeye,269,269,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/15,Kuskokwim River Sonar,Sockeye,318,318,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/16,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/17,Kuskokwim River Sonar,Sockeye,406,406,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/18,Kuskokwim River Sonar,Sockeye,587,587,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/19,Kuskokwim River Sonar,Sockeye,2284,2284,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/20,Kuskokwim River Sonar,Sockeye,2795,2795,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/21,Kuskokwim River Sonar,Sockeye,1362,1362,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/22,Kuskokwim River Sonar,Sockeye,3382,3382,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/23,Kuskokwim River Sonar,Sockeye,7169,7169,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/24,Kuskokwim River Sonar,Sockeye,5365,5365,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/25,Kuskokwim River Sonar,Sockeye,8942,8942,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/26,Kuskokwim River Sonar,Sockeye,15378,15378,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/27,Kuskokwim River Sonar,Sockeye,14070,14070,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/28,Kuskokwim River Sonar,Sockeye,9809,9809,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/29,Kuskokwim River Sonar,Sockeye,21323,21323,Calculated,Sonar
Kuskokwim River Sonar,,,2018,06/30,Kuskokwim River Sonar,Sockeye,32273,32273,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/01,Kuskokwim River Sonar,Sockeye,17071,17071,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/02,Kuskokwim River Sonar,Sockeye,24271,24271,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/03,Kuskokwim River Sonar,Sockeye,22462,22462,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/04,Kuskokwim River Sonar,Sockeye,35976,35976,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/05,Kuskokwim River Sonar,Sockeye,46330,46330,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/06,Kuskokwim River Sonar,Sockeye,27302,27302,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/07,Kuskokwim River Sonar,Sockeye,40048,40048,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/08,Kuskokwim River Sonar,Sockeye,43821,43821,Calculated,Sonar
Kuskokwim River Sonar,,,2018,07/09,Kuskokwim River Sonar,Sockeye,30084,30084,Calculated,Sonar
